source_page,source_section,source_label,field_code,user_display_label,value_type,canonical_unit,sensitivity_class,app_surface,ingest_policy,user_confirmation_required,diagnostic_use_allowed,extraction_method,notes
1,수검자 정보,수검자 성명,SUBJECT_NAME,이름,TEXT,,DIRECT_IDENTIFIER,MY_RESULTS,IDENTITY_VAULT_ONLY,False,False,PDF_TEXT_AND_VISUAL_REVIEW,
1,수검자 정보,주민등록번호,NATIONAL_ID,주민등록번호,TEXT,,HIGH_RISK_IDENTIFIER,MY_RESULTS,DO_NOT_STORE_RAW,False,False,PDF_TEXT_AND_VISUAL_REVIEW,앱 분석·로그·VDB에 저장하지 않고 별도 본인확인 체계로 분리합니다.
1,수검자 정보,검진일,SCREENED_ON,검진일,DATE,,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,False,False,PDF_TEXT_AND_VISUAL_REVIEW,
1,수검자 정보,검진장소,SCREENING_LOCATION,검진기관/장소,TEXT,,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
1,수검자 정보,내원/출장,SCREENING_VISIT_TYPE,검진 방식,CODE,,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
1,건강검진 종합소견,판정,OVERALL_RESULT_FLAGS,종합소견,CODE_LIST,,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,정상A·정상B·질환의심·유질환자는 중복 표시될 수 있어 단일 등급으로 평탄화하지 않습니다.
1,관리 필요사항,의심 질환,FOLLOW_UP_CONDITION_FLAGS,추적 진료가 필요한 항목,CODE_LIST,,PERSONAL_HEALTH,FOLLOW_UP,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
1,관리 필요사항,다음연도 3월 31일까지,FOLLOW_UP_DUE_ON,확진검사 기한,DATE,,PERSONAL_HEALTH,FOLLOW_UP,DERIVE_FROM_RULE_VERSION,True,False,PDF_TEXT_AND_VISUAL_REVIEW,검진일과 적용 규정 버전을 함께 저장해 계산합니다.
1,관리 필요사항,유질환,KNOWN_CONDITION_NOTES,현재 치료 중인 질환,TEXT,,PERSONAL_HEALTH,FOLLOW_UP,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
1,관리 필요사항,생활습관 관리,LIFESTYLE_MANAGEMENT_NOTES,생활습관 관리 안내,TEXT,,PERSONAL_HEALTH,CARE_PLAN,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
1,관리 필요사항,기타,SCREENING_FREE_TEXT_NOTES,기타 안내,TEXT,,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,OCR 신뢰도가 낮거나 자유서술이면 반드시 사용자 확인을 받습니다.
2,계측검사,키,HEIGHT,키,NUMERIC,cm,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
2,계측검사,몸무게,WEIGHT,몸무게,NUMERIC,kg,PERSONAL_HEALTH,MY_RESULTS,STORE_ENCRYPTED,True,False,PDF_TEXT_AND_VISUAL_REVIEW,
