display_order,item_code,display_name_en,display_name_ko,specimen_type,result_representation,canonical_unit,classification_sex_specific,eligibility_sex_specific,derivation_requires_sex,requires_sex_for_clinical_use,is_derived,derivation_mode,interpretation_mode,normal_a,normal_b,disease_suspected,allowed_values,eligibility,categories,source_locator,notes
1,HEMOGLOBIN,Hemoglobin,혈색소,WHOLE_BLOOD,NUMERIC,g/dL,True,False,False,True,False,NONE,RULE_ENGINE,남 13.0~16.5 / 여 12.0~15.5,남 12.0~12.9 / 여 10.0~11.9,남 12.0 미만 / 여 10.0 미만,[],"{""all_screening_subjects"":true}","[""빈혈"",""혈액검사""]",별표 4의 별첨 1쪽 빈혈,성별이 필요하며 고시가 분류하지 않은 상한 초과는 임의 판정하지 않음
2,FASTING_GLUCOSE,Fasting plasma glucose,공복혈당,SERUM_OR_PLASMA,NUMERIC,mg/dL,False,False,False,False,False,NONE,RULE_ENGINE,100 미만,100~125,126 이상,[],"{""all_screening_subjects"":true}","[""당뇨병"",""혈액검사""]",별표 4의 별첨 1쪽 당뇨병,8시간 이상 공복 여부와 검진기관 원문 판정을 함께 확인
3,TOTAL_CHOLESTEROL,Total cholesterol,총콜레스테롤,SERUM_OR_PLASMA,NUMERIC,mg/dL,False,True,False,True,False,NONE,RULE_ENGINE,200 미만,200~239,240 이상,[],"{""component_code"":""LIPID_PANEL"",""any"":[{""sex"":""MALE"",""age_gte"":24},{""sex"":""FEMALE"",""age_gte"":40}],""interval_years"":4}","[""이상지질혈증"",""지질검사""]",별표 4의 별첨 1쪽 이상지질혈증,검진일과 검진기관 참고치를 함께 보존
4,HDL_CHOLESTEROL,HDL cholesterol,고밀도(HDL) 콜레스테롤,SERUM_OR_PLASMA,NUMERIC,mg/dL,False,True,False,True,False,NONE,RULE_ENGINE,60 이상,40~59,40 미만,[],"{""component_code"":""LIPID_PANEL"",""any"":[{""sex"":""MALE"",""age_gte"":24},{""sex"":""FEMALE"",""age_gte"":40}],""interval_years"":4}","[""이상지질혈증"",""지질검사""]",별표 4의 별첨 1쪽 HDL 콜레스테롤,값이 낮을수록 높은 판정 단계
5,TRIGLYCERIDES,Triglycerides,중성지방,SERUM_OR_PLASMA,NUMERIC,mg/dL,False,True,False,True,False,NONE,RULE_ENGINE,150 미만,150~199,200 이상,[],"{""component_code"":""LIPID_PANEL"",""any"":[{""sex"":""MALE"",""age_gte"":24},{""sex"":""FEMALE"",""age_gte"":40}],""interval_years"":4}","[""이상지질혈증"",""지질검사""]",별표 4의 별첨 1쪽 중성지방,검진일과 검진기관 참고치를 함께 보존
6,LDL_CHOLESTEROL,LDL cholesterol,저밀도(LDL) 콜레스테롤,SERUM_OR_PLASMA,NUMERIC,mg/dL,False,True,False,True,True,CONDITIONAL,RULE_ENGINE,130 미만,130~159,160 이상,[],"{""component_code"":""LIPID_PANEL"",""any"":[{""sex"":""MALE"",""age_gte"":24},{""sex"":""FEMALE"",""age_gte"":40}],""interval_years"":4}","[""이상지질혈증"",""지질검사""]",별표 4의 별첨 1쪽 LDL 콜레스테롤,중성지방 400mg/dL 미만에서는 계산값일 수 있음. 당뇨 동반 시 LDL-C 100 미만 주석과 의사 판단 예외를 별도 적용
7,AST,Aspartate aminotransferase,에이에스티(AST/SGOT),SERUM,NUMERIC,U/L,False,False,False,False,False,NONE,RULE_ENGINE,40 이하,41~50,51 이상,[],"{""all_screening_subjects"":true}","[""간장질환"",""간기능검사""]",별표 4의 별첨 1쪽 AST,단독 수치로 원인 질환을 확정하지 않음
8,ALT,Alanine aminotransferase,에이엘티(ALT/SGPT),SERUM,NUMERIC,U/L,False,False,False,False,False,NONE,RULE_ENGINE,35 이하,36~45,46 이상,[],"{""all_screening_subjects"":true}","[""간장질환"",""간기능검사""]",별표 4의 별첨 1쪽 ALT,단독 수치로 원인 질환을 확정하지 않음
9,GAMMA_GTP,Gamma-glutamyl transferase,감마지티피(γ-GTP),SERUM,NUMERIC,U/L,True,False,False,True,False,NONE,RULE_ENGINE,남 11~63 / 여 8~35,남 64~77 / 여 36~45,남 78 이상 / 여 46 이상,[],"{""all_screening_subjects"":true}","[""간장질환"",""간기능검사""]",별표 4의 별첨 1쪽 감마지티피,성별이 필요하며 고시가 분류하지 않은 하한 미만은 임의 판정하지 않음
10,SERUM_CREATININE,Serum creatinine,혈청크레아티닌,SERUM,NUMERIC,mg/dL,False,False,False,False,False,NONE,RULE_ENGINE,1.5 이하,,1.5 초과,[],"{""all_screening_subjects"":true}","[""신장질환"",""신장기능검사""]",별표 4의 별첨 1쪽 혈청크레아티닌,정상B 구간 없음. 검진기관 참고치와 e-GFR을 함께 표시
