source_column,metric_code,metric_group,user_label,count_scope,denominator_metric_code,blank_policy,relationship_between_metrics,can_sum_across_disjoint_cohorts,app_surface,user_explanation,caution
대상인원,ELIGIBLE_COUNT,ELIGIBILITY,검진 대상 인원,COHORT_PERSON_COUNT,,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,해당 연도·직역·연령대·성별에서 일반건강검진 대상자로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
수검인원,SCREENED_COUNT,PARTICIPATION,검진 수검 인원,COHORT_PERSON_COUNT,ELIGIBLE_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,검진 대상자 중 실제로 건강검진을 받은 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
정상A,NORMAL_A_COUNT,OVERALL_STATUS,정상A,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,검진 종합소견에서 정상A로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
정상B_실인원,NORMAL_B_PEOPLE_COUNT,OVERALL_STATUS,정상B(경계),NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,자가관리·예방조치가 필요한 정상B로 집계된 실인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
정상B_비만관리,NORMAL_B_OBESITY_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 비만 관리,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,정상B 중 비만 관리가 필요한 것으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
정상B_혈압관리,NORMAL_B_BP_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 혈압 관리,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,정상B 중 혈압 관리가 필요한 것으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
정상B_이상지질혈증관리,NORMAL_B_DYSLIPIDEMIA_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 이상지질혈증 관리,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,정상B 중 이상지질혈증 관리가 필요한 것으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
정상B_간기능관리,NORMAL_B_LIVER_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 간기능 관리,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,정상B 중 간기능 관리가 필요한 것으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
정상B_당뇨관리,NORMAL_B_GLUCOSE_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 혈당 관리,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,정상B 중 혈당 관리가 필요한 것으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
정상B_신장기능관리,NORMAL_B_KIDNEY_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 신장기능 관리,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,정상B 중 신장기능 관리가 필요한 것으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
정상B_빈혈관리,NORMAL_B_ANEMIA_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 빈혈 관리,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,정상B 중 빈혈 관리가 필요한 것으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
정상B_골다공증관리,NORMAL_B_OSTEOPOROSIS_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 골다공증 관리,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,정상B 중 골다공증 관리가 필요한 것으로 집계된 인원입니다. 공란은 0이 아니라 데이터 없음입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
정상B_기타질환관리,NORMAL_B_OTHER_MANAGEMENT_COUNT,NORMAL_B_MANAGEMENT,정상B - 기타질환 관리,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,정상B 중 기타질환 관리가 필요한 것으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
일반질환의심_실인원,GENERAL_DISEASE_SUSPECTED_PEOPLE_COUNT,OVERALL_STATUS,일반 질환의심,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,추적검사 또는 의료기관 진료가 필요한 일반 질환의심 실인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
일반질환의심_폐결핵의심,TB_SUSPECTED_COUNT,GENERAL_DISEASE_SUSPECTED,폐결핵 의심,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,폐결핵 의심으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
일반질환의심_기타흉부질환의심,OTHER_CHEST_DISEASE_SUSPECTED_COUNT,GENERAL_DISEASE_SUSPECTED,기타 흉부질환 의심,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,기타 흉부질환 의심으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
일반질환의심_이상지질혈증의심,DYSLIPIDEMIA_SUSPECTED_COUNT,GENERAL_DISEASE_SUSPECTED,이상지질혈증 의심,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,이상지질혈증 의심으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
일반질환의심_간장질환의심,LIVER_DISEASE_SUSPECTED_COUNT,GENERAL_DISEASE_SUSPECTED,간장질환 의심,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,간장질환 의심으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
일반질환의심_신장질환의심,KIDNEY_DISEASE_SUSPECTED_COUNT,GENERAL_DISEASE_SUSPECTED,신장질환 의심,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,신장질환 의심으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
일반질환의심_빈혈증의심,ANEMIA_SUSPECTED_COUNT,GENERAL_DISEASE_SUSPECTED,빈혈 의심,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,빈혈 의심으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
일반질환의심_골다공증의심,OSTEOPOROSIS_SUSPECTED_COUNT,GENERAL_DISEASE_SUSPECTED,골다공증 의심,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,골다공증 의심으로 집계된 인원입니다. 공란은 0이 아니라 데이터 없음입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
일반질환의심_기타질환의심,OTHER_DISEASE_SUSPECTED_COUNT,GENERAL_DISEASE_SUSPECTED,기타질환 의심,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,기타질환 의심으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
고혈압당뇨병질환의심_실인원,CARDIOMETABOLIC_SUSPECTED_PEOPLE_COUNT,OVERALL_STATUS,고혈압·당뇨병 질환의심,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,고혈압 또는 당뇨병 질환의심 실인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
고혈압당뇨병질환의심_고혈압질환의심,HYPERTENSION_SUSPECTED_COUNT,CARDIOMETABOLIC_SUSPECTED,고혈압 질환의심,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,고혈압 질환의심으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
고혈압당뇨병질환의심_당뇨질환의심,DIABETES_SUSPECTED_COUNT,CARDIOMETABOLIC_SUSPECTED,당뇨병 질환의심,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,당뇨병 질환의심으로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
유질환자_실인원,KNOWN_CONDITION_PEOPLE_COUNT,OVERALL_STATUS,유질환자,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,검진 전 진단 및 치료 이력이 있는 유질환자 실인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
유질환자_고혈압,KNOWN_HYPERTENSION_COUNT,KNOWN_CONDITION,유질환자 - 고혈압,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,고혈압 유질환자로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
유질환자_당뇨,KNOWN_DIABETES_COUNT,KNOWN_CONDITION,유질환자 - 당뇨병,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,당뇨병 유질환자로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
유질환자_이상지질혈증,KNOWN_DYSLIPIDEMIA_COUNT,KNOWN_CONDITION,유질환자 - 이상지질혈증,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,이상지질혈증 유질환자로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
유질환자_폐결핵,KNOWN_TB_COUNT,KNOWN_CONDITION,유질환자 - 폐결핵,NONEXCLUSIVE_PERSON_COUNT,SCREENED_COUNT,PRESERVE_NULL_NOT_ZERO,DO_NOT_SUM_ACROSS_METRICS,True,BENCHMARK,폐결핵 유질환자로 집계된 인원입니다.,공개 집계 참고값이며 개인의 검사결과·진단·위험도를 뜻하지 않습니다. 같은 사람이 여러 판정 또는 관리 항목에 중복 집계될 수 있습니다.
